,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,geometry,norm_entropy,sigma,start_window,sweep size (bytes)
3000,1000000,250000,sine,171640,18.429479,-20,b'FFF4632A7CD7D12B',-20.0db_10.0sigma_haystacks/2018-03-30_211038__0.txt,0,0.999822805,10,b'0000000000000000',250000
3001,1000000,250000,sine,728860,18.478563,-20,b'FFF2CA947CFC6232',-20.0db_10.0sigma_haystacks/2018-03-30_211038__1.txt,0,0.999798452,10,b'0000000000000000',250000
3002,1000000,250000,sine,475084,18.52253,-20,b'FFF5EAAF0583D9E0',-20.0db_10.0sigma_haystacks/2018-03-30_211038__10.txt,0,0.999846142,10,b'0000000000000000',250000
3003,1000000,250000,sine,113488,18.500252,-20,b'FFF46FE26648C48A',-20.0db_10.0sigma_haystacks/2018-03-30_211038__100.txt,0,0.999823563,10,b'0000000000000000',250000
3004,1000000,250000,sine,3888,18.518621,-20,b'FFF4C5022A134E15',-20.0db_10.0sigma_haystacks/2018-03-30_211038__101.txt,0,0.999828637,10,b'0000000000000000',250000
3005,1000000,250000,sine,212327,18.512211,-20,b'FFF448AEEA1B8A87',-20.0db_10.0sigma_haystacks/2018-03-30_211038__102.txt,0,0.999821227,10,b'0000000000000000',250000
3006,1000000,250000,sine,203413,18.453596,-20,b'FFF5374A37C26DB9',-20.0db_10.0sigma_haystacks/2018-03-30_211038__103.txt,0,0.999835449,10,b'0000000000000000',250000
3007,1000000,250000,sine,745117,18.482046,-20,b'FFF47987C0A8D0F9',-20.0db_10.0sigma_haystacks/2018-03-30_211038__104.txt,0,0.999824138,10,b'0000000000000000',250000
3008,1000000,250000,sine,479314,18.45488,-20,b'FFF53AE6EF7F9E1B',-20.0db_10.0sigma_haystacks/2018-03-30_211038__105.txt,0,0.999835664,10,b'0000000000000000',250000
3009,1000000,250000,sine,406088,18.588367,-20,b'FFF45BF1BA23D1A0',-20.0db_10.0sigma_haystacks/2018-03-30_211038__106.txt,0,0.999822375,10,b'0000000000000000',250000
3010,1000000,250000,sine,612999,18.481479,-20,b'FFF40B17B1BE104C',-20.0db_10.0sigma_haystacks/2018-03-30_211038__107.txt,0,0.999817556,10,b'0000000000000000',250000
3011,1000000,250000,sine,429280,18.50197,-20,b'FFF4A116E8ED1BA4',-20.0db_10.0sigma_haystacks/2018-03-30_211038__108.txt,0,0.999826496,10,b'0000000000000000',250000
3012,1000000,250000,sine,417342,18.495187,-20,b'FFF40D555E34D9D9',-20.0db_10.0sigma_haystacks/2018-03-30_211038__109.txt,0,0.999817689,10,b'0000000000000000',250000
3013,1000000,250000,sine,561243,18.514093,-20,b'FFF2F95592AA6964',-20.0db_10.0sigma_haystacks/2018-03-30_211038__11.txt,0,0.999801238,10,b'0000000000000000',250000
3014,1000000,250000,sine,150071,18.548498,-20,b'FFF3A5991392BFCD',-20.0db_10.0sigma_haystacks/2018-03-30_211038__110.txt,0,0.999811506,10,b'0000000000000000',250000
