,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
0,1000000,250000,sine,385464,18.307468,-5.0,b'FF8F2FD7795C1171',-5.0db_10.0sigma_haystacks/2018-03-30_202624__0.txt,10.0,b'000000000005E301',0.9982786084232063,0,250000
1,1000000,250000,sine,502051,18.286471,-5.0,b'FF9621ED69E5FB66',-5.0db_10.0sigma_haystacks/2018-03-30_202624__1.txt,10.0,b'000000000007A96B',0.9983845905898291,0,250000
2,1000000,250000,sine,396883,18.394819,-5.0,b'FF965A7C077D88E8',-5.0db_10.0sigma_haystacks/2018-03-30_202624__10.txt,10.0,b'0000000000060E56',0.998387961655217,0,250000
3,1000000,250000,sine,632304,18.22983,-5.0,b'FF93264AA83F9259',-5.0db_10.0sigma_haystacks/2018-03-30_202624__100.txt,10.0,b'000000000009A635',0.9983390743511775,0,250000
4,1000000,250000,sine,187442,18.328889,-5.0,b'FF9E80C9DE695426',-5.0db_10.0sigma_haystacks/2018-03-30_202624__101.txt,10.0,b'000000000002DC52',0.9985123150676477,0,250000
5,1000000,250000,sine,129260,18.363757,-5.0,b'FF9531030C243CA0',-5.0db_10.0sigma_haystacks/2018-03-30_202624__102.txt,10.0,b'000000000001F927',0.9983702309074411,0,250000
6,1000000,250000,sine,97307,18.184342,-5.0,b'FF9F78329EC40604',-5.0db_10.0sigma_haystacks/2018-03-30_202624__103.txt,10.0,b'0000000000017C6E',0.9985270618042393,0,250000
7,1000000,250000,sine,158425,18.307838,-5.0,b'FF9D4F2CEA2DF9CF',-5.0db_10.0sigma_haystacks/2018-03-30_202624__104.txt,10.0,b'0000000000026B2B',0.9984940991072832,0,250000
8,1000000,250000,sine,338829,18.350649,-5.0,b'FF935EDA8B39C0F6',-5.0db_10.0sigma_haystacks/2018-03-30_202624__105.txt,10.0,b'00000000000530BB',0.9983424457125016,0,250000
9,1000000,250000,sine,28362,18.278877,-5.0,b'FF9535DE14D01518',-5.0db_10.0sigma_haystacks/2018-03-30_202624__106.txt,10.0,b'00000000000071A9',0.9983705203238177,0,250000
10,1000000,250000,sine,200379,18.372957,-5.0,b'FF9F0A092EB22FAF',-5.0db_10.0sigma_haystacks/2018-03-30_202624__107.txt,10.0,b'0000000000030EED',0.9985204956453309,0,250000
11,1000000,250000,sine,24263,18.256563,-5.0,b'FF9EAAE8DC4289A7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__108.txt,10.0,b'0000000000005F0F',0.9985148256785213,0,250000
12,1000000,250000,sine,710311,18.235059,-5.0,b'FF9B06E22CF3E76C',-5.0db_10.0sigma_haystacks/2018-03-30_202624__109.txt,10.0,b'00000000000AD715',0.9984592725931659,0,250000
13,1000000,250000,sine,473254,18.365868,-5.0,b'FF9C168FF7579590',-5.0db_10.0sigma_haystacks/2018-03-30_202624__11.txt,10.0,b'0000000000073902',0.9984754659156735,0,250000
14,1000000,250000,sine,711834,18.15678,-5.0,b'FF9A5ABB513E7AB1',-5.0db_10.0sigma_haystacks/2018-03-30_202624__110.txt,10.0,b'00000000000ADDA8',0.9984490115468762,0,250000
15,1000000,250000,sine,421674,18.273585,-5.0,b'FF9722145AEFE258',-5.0db_10.0sigma_haystacks/2018-03-30_202624__111.txt,10.0,b'0000000000066F28',0.9983998584456795,0,250000
16,1000000,250000,sine,656063,18.282613,-5.0,b'FF8F7A8008618CED',-5.0db_10.0sigma_haystacks/2018-03-30_202624__112.txt,10.0,b'00000000000A0348',0.998283058412545,0,250000
17,1000000,250000,sine,252028,18.284652,-5.0,b'FF994260D430B3B2',-5.0db_10.0sigma_haystacks/2018-03-30_202624__113.txt,10.0,b'000000000003D8E3',0.9984323011778453,0,250000
18,1000000,250000,sine,511772,18.26517,-5.0,b'FF96BF4435AA49A4',-5.0db_10.0sigma_haystacks/2018-03-30_202624__114.txt,10.0,b'000000000007D1A7',0.998393968727819,0,250000
19,1000000,250000,sine,396867,18.320686,-5.0,b'FF9B73B39EF79813',-5.0db_10.0sigma_haystacks/2018-03-30_202624__115.txt,10.0,b'0000000000060EA6',0.9984657586601017,0,250000
20,1000000,250000,sine,28061,18.298272,-5.0,b'FF9DDBEA473BAAB1',-5.0db_10.0sigma_haystacks/2018-03-30_202624__116.txt,10.0,b'0000000000006DE9',0.998502487847175,0,250000
21,1000000,250000,sine,78140,18.269747,-5.0,b'FF939459CD50A6B7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__117.txt,10.0,b'00000000000131AC',0.9983456343882745,0,250000
22,1000000,250000,sine,9736,18.338655,-5.0,b'FF9FA0136D21A3B5',-5.0db_10.0sigma_haystacks/2018-03-30_202624__118.txt,10.0,b'00000000000025FD',0.9985294387271382,0,250000
23,1000000,250000,sine,608802,18.300398,-5.0,b'FF9FA07BC8ED84C2',-5.0db_10.0sigma_haystacks/2018-03-30_202624__119.txt,10.0,b'0000000000094827',0.9985294630250136,0,250000
24,1000000,250000,sine,267230,18.196983,-5.0,b'FFA380D45B6695A9',-5.0db_10.0sigma_haystacks/2018-03-30_202624__12.txt,10.0,b'00000000000414E7',0.9985886114549437,0,250000
25,1000000,250000,sine,40905,18.216371,-5.0,b'FF96AD7A14775DA9',-5.0db_10.0sigma_haystacks/2018-03-30_202624__120.txt,10.0,b'000000000000A01B',0.9983929083868737,0,250000
26,1000000,250000,sine,587172,18.28116,-5.0,b'FF9F5022CF178578',-5.0db_10.0sigma_haystacks/2018-03-30_202624__121.txt,10.0,b'000000000008F615',0.9985246739371104,0,250000
27,1000000,250000,sine,435641,18.199034,-5.0,b'FF95EC8FFF319A68',-5.0db_10.0sigma_haystacks/2018-03-30_202624__122.txt,10.0,b'000000000006A4D8',0.9983814097933589,0,250000
28,1000000,250000,sine,280390,18.290254,-5.0,b'FF962FB15A834BA0',-5.0db_10.0sigma_haystacks/2018-03-30_202624__123.txt,10.0,b'0000000000044771',0.9983854110710243,0,250000
29,1000000,250000,sine,461707,18.196059,-5.0,b'FF92FB5588C5A5AF',-5.0db_10.0sigma_haystacks/2018-03-30_202624__124.txt,10.0,b'0000000000070B53',0.9983365138839618,0,250000
30,1000000,250000,sine,357397,18.254836,-5.0,b'FF93FBE5CF870465',-5.0db_10.0sigma_haystacks/2018-03-30_202624__125.txt,10.0,b'00000000000573EB',0.9983518062649887,0,250000
31,1000000,250000,sine,643681,18.266051,-5.0,b'FF9543BE72E360EA',-5.0db_10.0sigma_haystacks/2018-03-30_202624__126.txt,10.0,b'000000000009D29D',0.9983713474238249,0,250000
32,1000000,250000,sine,459172,18.284597,-5.0,b'FF94E07DB74440B7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__127.txt,10.0,b'0000000000070202',0.9983654314921901,0,250000
33,1000000,250000,sine,161403,18.305271,-5.0,b'FFA0802E3313C7FF',-5.0db_10.0sigma_haystacks/2018-03-30_202624__128.txt,10.0,b'0000000000027DE2',0.9985427964011954,0,250000
