,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy
0,1000000,250000,sine,43952,0.5,b'FFEF73D5C54A0846',./0.5db_haystacks/2018-03-22_130919__0.txt,24.6350700819,b'00000000000D592E',0.9997475048924472
1,1000000,250000,sine,491374,0.5,b'FFEF56025C79D724',./0.5db_haystacks/2018-03-22_130919__1.txt,24.6350700819,b'000000000000C2ED',0.9997457271351559
2,1000000,250000,sine,52388,0.5,b'FFEEE33510D1CE3E',./0.5db_haystacks/2018-03-22_130919__2.txt,24.6350700819,b'00000000000602FB',0.9997388844065604
3,1000000,250000,sine,436487,0.5,b'FFE2C5B29CD6F893',./0.5db_haystacks/2018-03-22_130919__3.txt,24.6350700819,b'000000000008EE7D',0.9995540200296452
4,1000000,250000,sine,653110,0.5,b'FFEF847D814298F8',./0.5db_haystacks/2018-03-22_130919__4.txt,24.6350700819,b'00000000000DB479',0.9997484976204397
5,1000000,250000,sine,133052,0.5,b'FFEFD268807D61EE',./0.5db_haystacks/2018-03-22_130919__5.txt,24.6350700819,b'00000000000A691B',0.999753141892588
6,1000000,250000,sine,693913,0.5,b'FFCC777AF3DA32D1',./0.5db_haystacks/2018-03-22_130919__6.txt,24.6350700819,b'00000000000D04E5',0.9992136645485992
7,1000000,250000,sine,578948,0.5,b'FFCFDD6542A96AC6',./0.5db_haystacks/2018-03-22_130919__7.txt,24.6350700819,b'00000000000A6F18',0.9992655155389564
8,1000000,250000,sine,659981,0.5,b'FFC565297A6A20A3',./0.5db_haystacks/2018-03-22_130919__8.txt,24.6350700819,b'00000000000C14AB',0.9991057611718266
9,1000000,250000,sine,216700,0.5,b'FFEF4F19056F6318',./0.5db_haystacks/2018-03-22_130919__9.txt,24.6350700819,b'000000000001F276',0.999745315178584
10,,,noise,,,b'FFEF0B12FD6ED619',./0.5db_haystacks/2018-03-22_130938__0.txt,24.6350700819,b'0000000000053050',0.9997412606584776
11,,,noise,,,b'FFEE991067C57A3F',./0.5db_haystacks/2018-03-22_130938__1.txt,24.6350700819,b'000000000009F752',0.9997344651271954
12,,,noise,,,b'FFEF2E4FF9018043',./0.5db_haystacks/2018-03-22_130938__2.txt,24.6350700819,b'00000000000BD03A',0.9997433610196875
13,,,noise,,,b'FFEFAA93BC0D7BC7',./0.5db_haystacks/2018-03-22_130938__3.txt,24.6350700819,b'00000000000487FC',0.9997507677726868
14,,,noise,,,b'FFEFA46064E9C303',./0.5db_haystacks/2018-03-22_130938__4.txt,24.6350700819,b'0000000000064CA6',0.9997503981912024
15,,,noise,,,b'FFEF558781D8A3D7',./0.5db_haystacks/2018-03-22_130938__5.txt,24.6350700819,b'00000000000B403B',0.9997456985309747
16,,,noise,,,b'FFEFB633D2A4CEEB',./0.5db_haystacks/2018-03-22_130938__6.txt,24.6350700819,b'00000000000B0D94',0.9997514606972289
17,,,noise,,,b'FFEFC7D34ADDCB34',./0.5db_haystacks/2018-03-22_130938__7.txt,24.6350700819,b'000000000002F16C',0.9997525111056041
18,,,noise,,,b'FFEFB21C963F83EF',./0.5db_haystacks/2018-03-22_130938__8.txt,24.6350700819,b'0000000000098655',0.9997512168686153
19,,,noise,,,b'FFEF2FF36FEC8FDB',./0.5db_haystacks/2018-03-22_130938__9.txt,24.6350700819,b'00000000000E9D44',0.9997434586838827
