,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy
0,1000000,250000,sine,605583,0.5,b'FFF3A97AF4D6D4E6',0.5db_10.0sigma_haystacks/2018-03-30_194617__0.txt,10.0,b'00000000000BBD70',0.999811737555173
1,1000000,250000,sine,534521,0.5,b'FFEF025F5FFDA652',0.5db_10.0sigma_haystacks/2018-03-30_194617__1.txt,10.0,b'0000000000099485',0.9997407420014414
2,1000000,250000,sine,294514,0.5,b'FFAE7A621984CE8E',0.5db_10.0sigma_haystacks/2018-03-30_194617__10.txt,10.0,b'0000000000072586',0.9987560739041499
3,1000000,250000,sine,435643,0.5,b'FFF32D3E51492FB2',0.5db_10.0sigma_haystacks/2018-03-30_194617__100.txt,10.0,b'000000000008D99D',0.9998043324606314
4,1000000,250000,sine,579652,0.5,b'FFB292571CF2BEAE',0.5db_10.0sigma_haystacks/2018-03-30_194617__101.txt,10.0,b'00000000000BBFCA',0.9988185370138565
5,1000000,250000,sine,320086,0.5,b'FFF399CD76CF19B0',0.5db_10.0sigma_haystacks/2018-03-30_194617__102.txt,10.0,b'0000000000000000',0.9998108030911762
6,1000000,250000,sine,9319,0.5,b'FFB998D980271A45',0.5db_10.0sigma_haystacks/2018-03-30_194617__103.txt,10.0,b'0000000000005DF6',0.9989257365233722
7,1000000,250000,sine,107549,0.5,b'FFF3136FC1DDBBFB',0.5db_10.0sigma_haystacks/2018-03-30_194617__104.txt,10.0,b'0000000000000000',0.9998027942509599
8,1000000,250000,sine,478573,0.5,b'FFAF2B561F0734D5',0.5db_10.0sigma_haystacks/2018-03-30_194617__105.txt,10.0,b'00000000000868D0',0.9987666211373182
9,1000000,250000,sine,700561,0.5,b'FFF2BA15DCEA0875',0.5db_10.0sigma_haystacks/2018-03-30_194617__106.txt,10.0,b'0000000000000000',0.999797468507417
10,1000000,250000,sine,382916,0.5,b'FFE0046CE1F6E832',0.5db_10.0sigma_haystacks/2018-03-30_194617__107.txt,10.0,b'00000000000885EE',0.9995119825198021
11,1000000,250000,sine,508731,0.5,b'FFBEA15AA00C2986',0.5db_10.0sigma_haystacks/2018-03-30_194617__108.txt,10.0,b'000000000008422A',0.9990025373700041
12,1000000,250000,sine,637123,0.5,b'FFC2E167F6049888',0.5db_10.0sigma_haystacks/2018-03-30_194617__109.txt,10.0,b'00000000000BF54E',0.9990673903285078
13,1000000,250000,sine,240002,0.5,b'FFF24579FFE27D66',0.5db_10.0sigma_haystacks/2018-03-30_194617__11.txt,10.0,b'0000000000074F10',0.9997905180788482
14,1000000,250000,sine,24773,0.5,b'FFF25C4D9A409B2B',0.5db_10.0sigma_haystacks/2018-03-30_194617__110.txt,10.0,b'00000000000CD4D0',0.9997918786486956
15,1000000,250000,sine,79861,0.5,b'FFBC9C10C2779F1A',0.5db_10.0sigma_haystacks/2018-03-30_194617__111.txt,10.0,b'0000000000039125',0.9989717045704922
16,1000000,250000,sine,321021,0.5,b'FFD0669811613CDB',0.5db_10.0sigma_haystacks/2018-03-30_194617__112.txt,10.0,b'0000000000067E54',0.9992736932048318
17,1000000,250000,sine,563060,0.5,b'FFF316840C230E16',0.5db_10.0sigma_haystacks/2018-03-30_194617__113.txt,10.0,b'0000000000000000',0.999802977789056
18,1000000,250000,sine,694978,0.5,b'FFF1D4946DC59BE7',0.5db_10.0sigma_haystacks/2018-03-30_194617__114.txt,10.0,b'00000000000D2642',0.9997837889075271
19,1000000,250000,sine,215963,0.5,b'FFBDA0CF869EDF95',0.5db_10.0sigma_haystacks/2018-03-30_194617__115.txt,10.0,b'0000000000036AD1',0.9989872461943565
20,1000000,250000,sine,358932,0.5,b'FFF3DFAB4D21522C',0.5db_10.0sigma_haystacks/2018-03-30_194617__116.txt,10.0,b'0000000000085A87',0.9998149674621619
21,1000000,250000,sine,741900,0.5,b'FFD9DD60147329CA',0.5db_10.0sigma_haystacks/2018-03-30_194617__117.txt,10.0,b'00000000000BE2F3',0.9994181022233987
22,1000000,250000,sine,330642,0.5,b'FFF303982E73CEF4',0.5db_10.0sigma_haystacks/2018-03-30_194617__118.txt,10.0,b'0000000000025412',0.9998018499886279
23,1000000,250000,sine,106119,0.5,b'FFC4984278D6E376',0.5db_10.0sigma_haystacks/2018-03-30_194617__119.txt,10.0,b'000000000001E906',0.9990935480389811
24,1000000,250000,sine,42424,0.5,b'FFF31D350FFDA65D',0.5db_10.0sigma_haystacks/2018-03-30_194617__12.txt,10.0,b'000000000000C6DF',0.9998033766314537
25,1000000,250000,sine,576361,0.5,b'FFF3237381F897F4',0.5db_10.0sigma_haystacks/2018-03-30_194617__120.txt,10.0,b'00000000000F2ACF',0.9998037487984867
26,1000000,250000,sine,732084,0.5,b'FFAFE30362CFBBC2',0.5db_10.0sigma_haystacks/2018-03-30_194617__121.txt,10.0,b'00000000000E0BB0',0.9987775691286619
27,1000000,250000,sine,55248,0.5,b'FFC89B6C18E81837',0.5db_10.0sigma_haystacks/2018-03-30_194617__122.txt,10.0,b'000000000004071D',0.9991547717008021
28,1000000,250000,sine,200303,0.5,b'FFF4406CA85587D8',0.5db_10.0sigma_haystacks/2018-03-30_194617__123.txt,10.0,b'00000000000EA1AD',0.9998207345273241
29,1000000,250000,sine,380860,0.5,b'FFF1EDA9860A1FE9',0.5db_10.0sigma_haystacks/2018-03-30_194617__124.txt,10.0,b'0000000000000000',0.9997852839351613
30,1000000,250000,sine,96803,0.5,b'FFD7361CD8B69199',0.5db_10.0sigma_haystacks/2018-03-30_194617__125.txt,10.0,b'000000000003F209',0.9993776150156128
31,1000000,250000,sine,110225,0.5,b'FFF3BD6F125408C5',0.5db_10.0sigma_haystacks/2018-03-30_194617__126.txt,10.0,b'00000000000834D8',0.9998129268809209
