,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy,entropy_hex,sigma,start_window
1,1000000.0,250000.0,sine,355650.0,5.0,-8060680450756243,b'FFE35CDA9515B16D',20.9280352651,000000000006BFE5
1,1000000.0,250000.0,sine,312600.0,5.0,-40381200855050201,b'FF708983036E5827',20.9280352651,0000000000079F73
1,1000000.0,250000.0,sine,493584.0,5.0,-33920754957259360,b'FF877D40CA426DA0',20.9280352651,00000000000AA5D6
1,1000000.0,250000.0,sine,38622.0,5.0,-5089618902043507,b'FFEDEB04C14D348D',20.9280352651,41798
1,1000000.0,250000.0,sine,51629.0,5.0,-4870960555258836,b'FFEEB1E31E638C2C',20.9280352651,000000000001AD46
1,1000000.0,250000.0,sine,467207.0,5.0,-4730301607767284,b'FFEF31D0D4FD130C',20.9280352651,00000000000D77C1
1,1000000.0,250000.0,sine,648322.0,5.0,-18165890388870080,b'FFBF76380C57BC40',20.9280352651,00000000000B0C1A
1,1000000.0,250000.0,sine,748967.0,5.0,-6508302865876658,b'FFE8E0BBA796B94E',20.9280352651,00000000000E70F7
1,1000000.0,250000.0,sine,631796.0,5.0,-4820155203343788,b'FFEEE0182957AA54',20.9280352651,00000000000BC28A
1,1000000.0,250000.0,sine,199710.0,5.0,-39528521986891386,b'FF739104C879A186',20.9280352651,000000000003195E
1,1000000.0,250000.0,sine,462799.0,5.0,-31778519183512740,b'FF8F199AEC942B5C',20.9280352651,00000000000A5123
1,1000000.0,250000.0,sine,727061.0,5.0,-6494059612650437,b'FFE8EDAFEBA3443B',20.9280352651,00000000000BD174
1,1000000.0,250000.0,sine,17271.0,5.0,-17030554098661304,b'FFC37ECD209F0848',20.9280352651,000000000002CB41
1,1000000.0,250000.0,sine,141792.0,5.0,-4888294468915047,b'FFEEA21F409F7099',20.9280352651,310000.0
1,1000000.0,250000.0,sine,1979.0,5.0,-37388659668295322,b'FF7B2B364DD7E166',20.9280352651,000000000000F9BD
1,1000000.0,250000.0,sine,698114.0,5.0,-39438477970209474,b'FF73E2E9CA1A853E',20.9280352651,00000000000E1CFE
1,1000000.0,250000.0,sine,2807.0,5.0,-11412389400873951,b'FFD7747E07B8F421',20.9280352651,000000000003BE33
1,1000000.0,250000.0,sine,367908.0,5.0,-40372095340959546,b'FF7091CB0E5D28C6',20.9280352651,00000000000893D1
1,1000000.0,250000.0,sine,85713.0,5.0,-29378857766591288,b'FF97A015A2EA64C8',20.9280352651,000000000001903B
1,1000000.0,250000.0,sine,599567.0,5.0,-4673302906378442,b'FFEF65A7E0566736',20.9280352651,0000000000070D93
1,1000000.0,250000.0,sine,659760.0,5.0,-4501093044095069,b'FFF002479C0177A3',20.9280352651,000000000008E6C8
1,1000000.0,250000.0,sine,398507.0,5.0,-38518666757203868,b'FF77277A06B71864',20.9280352651,66871
1,1000000.0,250000.0,sine,540040.0,5.0,-31658683118616304,b'FF8F86986EA88110',20.9280352651,0000000000094D60
1,1000000.0,250000.0,sine,470822.0,5.0,-8288868674626401,b'FFE28D515F0F1C9F',20.9280352651,000000000008365E
1,1000000.0,250000.0,sine,540146.0,5.0,-4699134134959271,b'FFEF4E2993224359',20.9280352651,00000000000E5819
1,1000000.0,250000.0,sine,425006.0,5.0,-4647887836086665,b'FFEF7CC54892FE77',20.9280352651,75548
1,1000000.0,250000.0,sine,565479.0,5.0,-41898813437433414,b'FF6B25404C8D29BA',20.9280352651,00000000000B4337
1,1000000.0,250000.0,sine,561445.0,5.0,-30764439830514197,b'FF92B3E7AC3035EB',20.9280352651,00000000000B64A1
1,1000000.0,250000.0,sine,342558.0,5.0,-41475162881038021,b'FF6CA68F2179693B',20.9280352651,0000000000081EB6
1,1000000.0,250000.0,sine,606203.0,5.0,-25508433396717623,b'FFA56037089CA7C9',20.9280352651,00000000000A5A06
1,1000000.0,250000.0,sine,38377.0,5.0,-5482396963007290,b'FFEC85C9FC8094C6',20.9280352651,000000000001611E
1,1000000.0,250000.0,sine,111855.0,5.0,-37854796656907060,b'FF79834354386CCC',20.9280352651,0000000000048A62
1,1000000.0,250000.0,sine,608353.0,5.0,-30209807064474010,b'FF94AC572D305E66',20.9280352651,00000000000B21D4
1,1000000.0,250000.0,sine,422455.0,5.0,-4794055571567948,b'FFEEF7D4F49F8AB4',20.9280352651,000000000009BDD6
1,1000000.0,250000.0,sine,251178.0,5.0,-37288217671094901,b'FF7B869047682D8B',20.9280352651,0000000000070F91
1,1000000.0,250000.0,sine,632692.0,5.0,-30317806233115193,b'FF944A1DA91B25C7',20.9280352651,00000000000C3148
1,1000000.0,250000.0,sine,421078.0,5.0,-37870900677183304,b'FF79749DD1CFF8B8',20.9280352651,000000000006C2B9
1,1000000.0,250000.0,sine,739666.0,5.0,-27079290407489589,b'FF9FCB87627DEFCB',20.9280352651,00000000000C567D
1,1000000.0,250000.0,sine,381469.0,5.0,-10421672779565827,b'FFDAF98B380234FD',20.9280352651,000000000006901B
1,1000000.0,250000.0,sine,538789.0,5.0,-30230038871228243,b'FF9499F09788C0AD',20.9280352651,00000000000B4CAD
1,1000000.0,250000.0,sine,247658.0,5.0,-42120893997567211,b'FF6A5B4523A73315',20.9280352651,000000000005AF69
1,1000000.0,250000.0,sine,553622.0,5.0,-4842703617392263,b'FFEECB9633220179',20.9280352651,00000000000D15A0
1,1000000.0,250000.0,sine,473972.0,5.0,-21029919625738421,b'FFB54966470D874B',20.9280352651,0000000000083DA2
1,1000000.0,250000.0,sine,279519.0,5.0,-10697496938573079,b'FFD9FEAEE6FD92E9',20.9280352651,000000000007907C
1,1000000.0,250000.0,sine,436740.0,5.0,-14447304522910786,b'FFCCAC40C9F333BE',20.9280352651,000000000007E0C2
1,1000000.0,250000.0,sine,537073.0,5.0,-39575359007153526,b'FF73666BB085228A',20.9280352651,0000000000097F51
