,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy
0,1000000,250000,sine,44974,-10.0,b'FFEDC691CC75A5E8',./haystacks/2018-03-22_145947__0.txt,30.1547442021,b'0000000000032F81',0.9997219186738763
1,1000000,250000,sine,30729,-10.0,b'FFEF3137AC4206AF',./haystacks/2018-03-22_145947__1.txt,30.1547442021,b'0000000000018787',0.9997435341758846
2,1000000,250000,sine,333988,-10.0,b'FFEFB10709856D98',./haystacks/2018-03-22_145947__10.txt,30.1547442021,b'0000000000084E2D',0.9997511522465368
3,1000000,250000,sine,37872,-10.0,b'FFEF54CFC82DE928',./haystacks/2018-03-22_145947__100.txt,30.1547442021,b'00000000000934E2',0.9997456557541039
4,1000000,250000,sine,172899,-10.0,b'FFEFD707C9A6A821',./haystacks/2018-03-22_145947__101.txt,30.1547442021,b'00000000000A0460',0.9997534173977792
5,1000000,250000,sine,748541,-10.0,b'FFEEFB0D3054EBBA',./haystacks/2018-03-22_145947__102.txt,30.1547442021,b'000000000000FCA1',0.9997403056334694
6,1000000,250000,sine,629237,-10.0,b'FFEFC9EE8058216F',./haystacks/2018-03-22_145947__103.txt,30.1547442021,b'000000000003F9B8',0.999752636649959
7,1000000,250000,sine,691384,-10.0,b'FFEF33183BEBDA32',./haystacks/2018-03-22_145947__104.txt,30.1547442021,b'0000000000039EB9',0.9997436460652546
8,1000000,250000,sine,99091,-10.0,b'FFEF70450A1F1CA7',./haystacks/2018-03-22_145947__105.txt,30.1547442021,b'000000000007CB19',0.9997472923806723
9,1000000,250000,sine,254763,-10.0,b'FFEF3E4A85D658D2',./haystacks/2018-03-22_145947__106.txt,30.1547442021,b'00000000000154AE',0.9997443134251055
10,1000000,250000,sine,473088,-10.0,b'FFEED7327868DFD6',./haystacks/2018-03-22_145947__107.txt,30.1547442021,b'00000000000D4E14',0.9997381685465458
11,1000000,250000,sine,167139,-10.0,b'FFEFC0D6A0BCFDED',./haystacks/2018-03-22_145947__108.txt,30.1547442021,b'000000000009284D',0.9997520946496827
12,1000000,250000,sine,504857,-10.0,b'FFEEC43ED96DF9E1',./haystacks/2018-03-22_145947__109.txt,30.1547442021,b'0000000000066AEA',0.9997370389405019
13,1000000,250000,sine,251323,-10.0,b'FFEFFBDE115D1E66',./haystacks/2018-03-22_145947__11.txt,30.1547442021,b'000000000002CF84',0.9997556130559713
14,1000000,250000,sine,496695,-10.0,b'FFEFE1D4CB205E85',./haystacks/2018-03-22_145947__110.txt,30.1547442021,b'00000000000CED98',0.9997540611758509
15,1000000,250000,sine,576301,-10.0,b'FFEF7F0276EFEB3D',./haystacks/2018-03-22_145947__111.txt,30.1547442021,b'00000000000F0FEF',0.999748170949658
16,1000000,250000,sine,107728,-10.0,b'FFEF71CE69D59CE7',./haystacks/2018-03-22_145947__112.txt,30.1547442021,b'000000000008A6EA',0.9997473839701656
17,1000000,250000,sine,639689,-10.0,b'FFEE834EC61C4F9E',./haystacks/2018-03-22_145947__113.txt,30.1547442021,b'00000000000CBD3D',0.9997331683463113
18,1000000,250000,sine,319066,-10.0,b'FFEF7CB343AA4025',./haystacks/2018-03-22_145947__114.txt,30.1547442021,b'000000000000133D',0.9997480333001159
19,1000000,250000,sine,16384,-10.0,b'FFF019BFC88F77E5',./haystacks/2018-03-22_145947__115.txt,30.1547442021,b'0000000000010453',0.999757394144181
20,1000000,250000,sine,423196,-10.0,b'FFEFC77CA54A03B3',./haystacks/2018-03-22_145947__116.txt,30.1547442021,b'000000000009AB6D',0.9997524909315771
21,1000000,250000,sine,307493,-10.0,b'FFF009D7A9EA9505',./haystacks/2018-03-22_145947__117.txt,30.1547442021,b'0000000000015959',0.9997564460299294
22,1000000,250000,sine,266198,-10.0,b'FFEF9E6440BD57DA',./haystacks/2018-03-22_145947__118.txt,30.1547442021,b'0000000000047D8C',0.9997500414617567
23,1000000,250000,sine,121165,-10.0,b'FFEF9D08E3B4A13E',./haystacks/2018-03-22_145947__119.txt,30.1547442021,b'0000000000033C5C',0.9997499605849094
24,1000000,250000,sine,195073,-10.0,b'FFEF8CB1C17983AA',./haystacks/2018-03-22_145947__12.txt,30.1547442021,b'000000000008D22F',0.9997489866231941
25,1000000,250000,sine,155676,-10.0,b'FFEFD717176825B7',./haystacks/2018-03-22_145947__120.txt,30.1547442021,b'00000000000D9C5A',0.9997534209609574
26,1000000,250000,sine,53445,-10.0,b'FFEF7FAF389B7EE3',./haystacks/2018-03-22_145947__121.txt,30.1547442021,b'000000000002740A',0.9997482111726708
27,1000000,250000,sine,166803,-10.0,b'FFEE67C34E3D5C11',./haystacks/2018-03-22_145947__122.txt,30.1547442021,b'00000000000EC484',0.999731526548421
28,1000000,250000,sine,712383,-10.0,b'FFF0012108B2476B',./haystacks/2018-03-22_145947__123.txt,30.1547442021,b'00000000000B3E37',0.9997559266709654
29,1000000,250000,sine,406436,-10.0,b'FFEF432EE530FA15',./haystacks/2018-03-22_145947__124.txt,30.1547442021,b'000000000008FBF6',0.9997446050157953
30,1000000,250000,sine,609494,-10.0,b'FFEF231352E7F152',./haystacks/2018-03-22_145947__125.txt,30.1547442021,b'00000000000AD962',0.9997426912476894
31,1000000,250000,sine,510308,-10.0,b'FFEFEEDFE61F2C0F',./haystacks/2018-03-22_145947__126.txt,30.1547442021,b'00000000000E64EF',0.9997548386219222
32,1000000,250000,sine,70501,-10.0,b'FFECDCFCAC35CA2F',./haystacks/2018-03-22_145947__127.txt,30.1547442021,b'000000000001F204',0.999707996070547
33,1000000,250000,sine,236232,-10.0,b'FFEF97F9F0D34256',./haystacks/2018-03-22_145947__128.txt,30.1547442021,b'0000000000067645',0.9997496590811581
