,NeedleType,entropy_hex,file_name,sigma,start_window,HstackSize,NeedleSize,StartSam,dSNR,norm_entropy
0,noise,b'FFEFAE320FF17839',./haystacks/2018-03-22_143501__0.txt,28.0714257482,b'00000000000DECB4',,,,,0.9997509834501609
1,noise,b'FFEF554F8DCBA258',./haystacks/2018-03-22_143501__1.txt,28.0714257482,b'00000000000CAF25',,,,,0.9997456855033264
2,noise,b'FFEFE97C4E41AA4E',./haystacks/2018-03-22_143501__10.txt,28.0714257482,b'000000000004FBA8',,,,,0.9997545174103438
3,noise,b'FFEF50E8DC7B2FD6',./haystacks/2018-03-22_143501__100.txt,28.0714257482,b'00000000000D3D0E',,,,,0.9997454231747553
4,noise,b'FFEFCE558C014364',./haystacks/2018-03-22_143501__101.txt,28.0714257482,b'00000000000BBF32',,,,,0.9997528990606996
5,noise,b'FFEFA52CF4B9C014',./haystacks/2018-03-22_143501__102.txt,28.0714257482,b'00000000000D62AA',,,,,0.9997504458194504
6,noise,b'FFEFA05EEC8E6D6D',./haystacks/2018-03-22_143501__103.txt,28.0714257482,b'00000000000B3EEC',,,,,0.9997501594303289
7,noise,b'FFEF64E709357DE6',./haystacks/2018-03-22_143501__104.txt,28.0714257482,b'0000000000053203',,,,,0.9997466148426692
8,noise,b'FFEF53C63E479549',./haystacks/2018-03-22_143501__105.txt,28.0714257482,b'0000000000004397',,,,,0.9997455939285643
9,noise,b'FFEF308544DDB4F6',./haystacks/2018-03-22_143501__106.txt,28.0714257482,b'000000000000560F',,,,,0.9997434926379957
10,noise,b'FFEFBA75017C4E89',./haystacks/2018-03-22_143501__107.txt,28.0714257482,b'00000000000DEE8D',,,,,0.9997517142924022
11,noise,b'FFEFA2C6577003F5',./haystacks/2018-03-22_143501__108.txt,28.0714257482,b'00000000000CB34A',,,,,0.9997503027183825
12,noise,b'FFEF9FDBEF09AC42',./haystacks/2018-03-22_143501__109.txt,28.0714257482,b'0000000000024027',,,,,0.9997501289317714
13,noise,b'FFEF9846CECD5D05',./haystacks/2018-03-22_143501__11.txt,28.0714257482,b'0000000000023BB2',,,,,0.999749676978174
14,noise,b'FFEF699E81F56682',./haystacks/2018-03-22_143501__110.txt,28.0714257482,b'00000000000A2381',,,,,0.9997468959790773
15,noise,b'FFEEDCCB4BAA5F4D',./haystacks/2018-03-22_143501__111.txt,28.0714257482,b'00000000000CBE58',,,,,0.9997385021521636
16,noise,b'FFEFDBE8C8187D65',./haystacks/2018-03-22_143501__112.txt,28.0714257482,b'000000000002F4F5',,,,,0.9997537082018386
17,noise,b'FFEF758B0851F8EC',./haystacks/2018-03-22_143501__113.txt,28.0714257482,b'00000000000A8742',,,,,0.9997476067004029
18,noise,b'FFEF8246D82CC0FD',./haystacks/2018-03-22_143501__114.txt,28.0714257482,b'00000000000EA699',,,,,0.9997483656845132
19,noise,b'FFEF928C92AAB880',./haystacks/2018-03-22_143501__115.txt,28.0714257482,b'00000000000737AE',,,,,0.9997493355937576
20,noise,b'FFEF39D3B7F56388',./haystacks/2018-03-22_143501__116.txt,28.0714257482,b'000000000005E157',,,,,0.9997440473452648
21,noise,b'FFEF108DA87224A7',./haystacks/2018-03-22_143501__117.txt,28.0714257482,b'0000000000095EF7',,,,,0.9997415872425753
22,noise,b'FFEFE5DB6CC6F1F2',./haystacks/2018-03-22_143501__118.txt,28.0714257482,b'000000000007C388',,,,,0.9997543011384342
23,noise,b'FFEF6B9B0A4C8699',./haystacks/2018-03-22_143501__119.txt,28.0714257482,b'000000000007F283',,,,,0.9997470143810451
24,noise,b'FFEEBBA7782D1EA5',./haystacks/2018-03-22_143501__12.txt,28.0714257482,b'000000000003EB4B',,,,,0.9997365268574652
25,noise,b'FFEF30BA7E9DFDF0',./haystacks/2018-03-22_143501__120.txt,28.0714257482,b'0000000000037628',,,,,0.9997435050305441
26,noise,b'FFEFC5D8B407B781',./haystacks/2018-03-22_143501__121.txt,28.0714257482,b'0000000000049950',,,,,0.9997523931561138
27,noise,b'FFEF4C59AE177655',./haystacks/2018-03-22_143501__122.txt,28.0714257482,b'0000000000071DF9',,,,,0.9997451514192032
28,noise,b'FFEFC9D47D75D3B7',./haystacks/2018-03-22_143501__123.txt,28.0714257482,b'000000000002E2B7',,,,,0.9997526305937392
29,noise,b'FFEF6A71CFB69FBA',./haystacks/2018-03-22_143501__124.txt,28.0714257482,b'00000000000CAD37',,,,,0.9997469451770606
30,noise,b'FFEEDF4D67D5A38E',./haystacks/2018-03-22_143501__125.txt,28.0714257482,b'00000000000EA8CA',,,,,0.9997386516550564
31,noise,b'FFEEF94AC69DC099',./haystacks/2018-03-22_143501__126.txt,28.0714257482,b'00000000000D07CA',,,,,0.9997402007635321
32,noise,b'FFEF9FCBA899C7D3',./haystacks/2018-03-22_143501__127.txt,28.0714257482,b'0000000000003CC6',,,,,0.9997501251424189
33,noise,b'FFEFAF6F1160EEC4',./haystacks/2018-03-22_143501__128.txt,28.0714257482,b'00000000000D0879',,,,,0.9997510572587804
34,noise,b'FFF00AAFA8319A0F',./haystacks/2018-03-22_143501__129.txt,28.0714257482,b'00000000000BDABC',,,,,0.9997564963197817
35,noise,b'FFF037E3696DA1C8',./haystacks/2018-03-22_143501__13.txt,28.0714257482,b'000000000006EB37',,,,,0.9997591905789052
36,noise,b'FFF022A16E7D0BB3',./haystacks/2018-03-22_143501__130.txt,28.0714257482,b'000000000001E0FC',,,,,0.9997579235191446
37,noise,b'FFEFC82AA236F468',./haystacks/2018-03-22_143501__131.txt,28.0714257482,b'000000000005D3DF',,,,,0.999752531441313
38,noise,b'FFEF1E42F0D703DA',./haystacks/2018-03-22_143501__132.txt,28.0714257482,b'00000000000C385C',,,,,0.9997424043111458
39,noise,b'FFEFE44729A54244',./haystacks/2018-03-22_143501__133.txt,28.0714257482,b'0000000000031ED5',,,,,0.9997542070137984
