,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
0,1000000,250000,sine,272370,18.500269,-10.0,b'FFF05B94938EEA4C',-10.0db_10.0sigma_haystacks/2018-03-30_204908__0.txt,10.0,b'000000000004284C',0.9997613179908132,0,250000
1,1000000,250000,sine,610730,18.410217,-10.0,b'FFEECCA6E3FBCE35',-10.0db_10.0sigma_haystacks/2018-03-30_204908__1.txt,10.0,b'00000000000953DE',0.9997375400016459,0,250000
2,1000000,250000,sine,313370,18.490745,-10.0,b'FFED4AFDBD08CD75',-10.0db_10.0sigma_haystacks/2018-03-30_204908__10.txt,10.0,b'000000000004C7D7',0.9997145528296045,0,250000
3,1000000,250000,sine,6270,18.478813,-10.0,b'FFEB8C880250742D',-10.0db_10.0sigma_haystacks/2018-03-30_204908__100.txt,10.0,b'0000000000000000',0.9996879417470285,0,250000
4,1000000,250000,sine,522491,18.446685,-10.0,b'FFEED4D10561CAE9',-10.0db_10.0sigma_haystacks/2018-03-30_204908__101.txt,10.0,b'000000000007FE3F',0.9997380266480668,0,250000
5,1000000,250000,sine,166093,18.42035,-10.0,b'FFEE8A55E33B2738',-10.0db_10.0sigma_haystacks/2018-03-30_204908__102.txt,10.0,b'0000000000028941',0.9997335872351242,0,250000
6,1000000,250000,sine,41718,18.407449,-10.0,b'FFEECA1752603450',-10.0db_10.0sigma_haystacks/2018-03-30_204908__103.txt,10.0,b'0000000000000000',0.9997373873651448,0,250000
7,1000000,250000,sine,143270,18.35661,-10.0,b'FFF02FB2D1BFF499',-10.0db_10.0sigma_haystacks/2018-03-30_204908__104.txt,10.0,b'0000000000022896',0.9997587024279254,0,250000
8,1000000,250000,sine,403263,18.356212,-10.0,b'FFEDA5B7163EDB11',-10.0db_10.0sigma_haystacks/2018-03-30_204908__105.txt,10.0,b'00000000000627C6',0.9997199604024404,0,250000
9,1000000,250000,sine,220418,18.378917,-10.0,b'FFEE1AC38D75DC6C',-10.0db_10.0sigma_haystacks/2018-03-30_204908__106.txt,10.0,b'00000000000356E0',0.9997269370482722,0,250000
10,1000000,250000,sine,139696,18.415923,-10.0,b'FFEE86FC013CBC14',-10.0db_10.0sigma_haystacks/2018-03-30_204908__107.txt,10.0,b'00000000000241EE',0.9997333874937224,0,250000
11,1000000,250000,sine,335914,18.404827,-10.0,b'FFEFE3F2EBB80B12',-10.0db_10.0sigma_haystacks/2018-03-30_204908__108.txt,10.0,b'00000000000526A5',0.9997541873997023,0,250000
12,1000000,250000,sine,395557,18.350958,-10.0,b'FFEEA5BDE875D54D',-10.0db_10.0sigma_haystacks/2018-03-30_204908__109.txt,10.0,b'000000000005F4FE',0.999735220779676,0,250000
13,1000000,250000,sine,446926,18.433118,-10.0,b'FFF239E25C869889',-10.0db_10.0sigma_haystacks/2018-03-30_204908__11.txt,10.0,b'000000000006D1FF',0.9997898271217543,0,250000
14,1000000,250000,sine,482651,18.453893,-10.0,b'FFF2115D17AFAAD8',-10.0db_10.0sigma_haystacks/2018-03-30_204908__110.txt,10.0,b'0000000000075E09',0.9997874119068785,0,250000
15,1000000,250000,sine,96365,18.391136,-10.0,b'FFEFD1B961793954',-10.0db_10.0sigma_haystacks/2018-03-30_204908__111.txt,10.0,b'0000000000017D41',0.9997531011190163,0,250000
16,1000000,250000,sine,63088,18.44359,-10.0,b'FFEFB251B9F60BEF',-10.0db_10.0sigma_haystacks/2018-03-30_204908__112.txt,10.0,b'0000000000000000',0.9997512292411203,0,250000
17,1000000,250000,sine,7775,18.432108,-10.0,b'FFE9C2B2C4D62817',-10.0db_10.0sigma_haystacks/2018-03-30_204908__113.txt,10.0,b'0000000000000000',0.9996606527755253,0,250000
18,1000000,250000,sine,122175,18.363883,-10.0,b'FFEF9D719D48FC3D',-10.0db_10.0sigma_haystacks/2018-03-30_204908__114.txt,10.0,b'000000000001D480',0.99974998496808,0,250000
19,1000000,250000,sine,55672,18.44306,-10.0,b'FFEE8CFF0E00F258',-10.0db_10.0sigma_haystacks/2018-03-30_204908__115.txt,10.0,b'0000000000000000',0.9997337458316939,0,250000
20,1000000,250000,sine,85630,18.474879,-10.0,b'FFEF0909F8F87494',-10.0db_10.0sigma_haystacks/2018-03-30_204908__116.txt,10.0,b'000000000001518F',0.9997411393496537,0,250000
21,1000000,250000,sine,395083,18.490309,-10.0,b'FFEDCA51A600FBBF',-10.0db_10.0sigma_haystacks/2018-03-30_204908__117.txt,10.0,b'0000000000060852',0.9997221421563188,0,250000
22,1000000,250000,sine,227303,18.348613,-10.0,b'FFEE64BCA8BF1D63',-10.0db_10.0sigma_haystacks/2018-03-30_204908__118.txt,10.0,b'00000000000375E1',0.9997313461869877,0,250000
23,1000000,250000,sine,47878,18.449381,-10.0,b'FFEE4F52BBC505B8',-10.0db_10.0sigma_haystacks/2018-03-30_204908__119.txt,10.0,b'0000000000000000',0.9997300698267005,0,250000
24,1000000,250000,sine,137091,18.520412,-10.0,b'FFF0C4CD344C9FA5',-10.0db_10.0sigma_haystacks/2018-03-30_204908__12.txt,10.0,b'000000000002208F',0.9997675896632239,0,250000
25,1000000,250000,sine,183519,18.381792,-10.0,b'FFEF7E4941C6CBD9',-10.0db_10.0sigma_haystacks/2018-03-30_204908__120.txt,10.0,b'000000000002CD38',0.9997481278276396,0,250000
26,1000000,250000,sine,290822,18.46898,-10.0,b'FFF233DC94260715',-10.0db_10.0sigma_haystacks/2018-03-30_204908__121.txt,10.0,b'0000000000000000',0.9997894681474905,0,250000
27,1000000,250000,sine,128227,18.383623,-10.0,b'FFEE6669CB9118B0',-10.0db_10.0sigma_haystacks/2018-03-30_204908__122.txt,10.0,b'000000000001F11A',0.9997314461030026,0,250000
28,1000000,250000,sine,45103,18.326743,-10.0,b'FFECD0AA00EF81D8',-10.0db_10.0sigma_haystacks/2018-03-30_204908__123.txt,10.0,b'0000000000000000',0.9997072615669236,0,250000
29,1000000,250000,sine,364794,18.326355,-10.0,b'FFEFAF8C16456BEB',-10.0db_10.0sigma_haystacks/2018-03-30_204908__124.txt,10.0,b'0000000000058FF4',0.9997510640153188,0,250000
30,1000000,250000,sine,114061,18.361135,-10.0,b'FFEE46A47719091B',-10.0db_10.0sigma_haystacks/2018-03-30_204908__125.txt,10.0,b'000000000001BE42',0.9997295524145536,0,250000
31,1000000,250000,sine,360114,18.433583,-10.0,b'FFEE03B854E32951',-10.0db_10.0sigma_haystacks/2018-03-30_204908__126.txt,10.0,b'0000000000057E76',0.9997255635288523,0,250000
32,1000000,250000,sine,236206,18.469794,-10.0,b'FFEDC7B8CACF2BB5',-10.0db_10.0sigma_haystacks/2018-03-30_204908__127.txt,10.0,b'0000000000038DF3',0.9997219873574151,0,250000
33,1000000,250000,sine,569779,18.299708,-10.0,b'FFEE5E1E64672F70',-10.0db_10.0sigma_haystacks/2018-03-30_204908__128.txt,10.0,b'000000000008B275',0.9997309517097193,0,250000
34,1000000,250000,sine,524732,18.358397,-10.0,b'FFED14F3847368BB',-10.0db_10.0sigma_haystacks/2018-03-30_204908__129.txt,10.0,b'00000000000801C8',0.9997113317990177,0,250000
35,1000000,250000,sine,401832,18.441276,-10.0,b'FFEEFEF7B81EC050',-10.0db_10.0sigma_haystacks/2018-03-30_204908__13.txt,10.0,b'00000000000620E0',0.9997405390532732,0,250000
36,1000000,250000,sine,533340,18.453052,-10.0,b'FFF0A26711FC2750',-10.0db_10.0sigma_haystacks/2018-03-30_204908__130.txt,10.0,b'0000000000082623',0.9997655393253672,0,250000
37,1000000,250000,sine,226263,18.429472,-10.0,b'FFF072D6D9D7F600',-10.0db_10.0sigma_haystacks/2018-03-30_204908__131.txt,10.0,b'0000000000036D76',0.9997627043283898,0,250000
38,1000000,250000,sine,619717,18.437952,-10.0,b'FFED176A89181744',-10.0db_10.0sigma_haystacks/2018-03-30_204908__132.txt,10.0,b'00000000000970F0',0.9997114787193769,0,250000
39,1000000,250000,sine,120317,18.554513,-10.0,b'FFEDB128AAF5F4A6',-10.0db_10.0sigma_haystacks/2018-03-30_204908__133.txt,10.0,b'000000000001D62B',0.9997206424986514,0,250000
40,1000000,250000,sine,635351,18.481245,-10.0,b'FFED8A6E101CDA3C',-10.0db_10.0sigma_haystacks/2018-03-30_204908__134.txt,10.0,b'000000000009B20E',0.9997183340748167,0,250000
41,1000000,250000,sine,355815,18.428443,-10.0,b'FFEE7B63F2CB2238',-10.0db_10.0sigma_haystacks/2018-03-30_204908__135.txt,10.0,b'0000000000056F0A',0.9997326964392355,0,250000
42,1000000,250000,sine,425513,18.372747,-10.0,b'FFEF44BBBEBD3B63',-10.0db_10.0sigma_haystacks/2018-03-30_204908__136.txt,10.0,b'0000000000068176',0.9997446974145888,0,250000
43,1000000,250000,sine,442003,18.47393,-10.0,b'FFEDC8BB27B845C2',-10.0db_10.0sigma_haystacks/2018-03-30_204908__137.txt,10.0,b'000000000006C0AA',0.9997220475122229,0,250000
